OPTIMAL FLOW WITH TARGET RMS   1.30E+01     LMAX_U  25 LMAX_B  4
 20  18     2.64036E-18     -2.83178E-18      1.34750E-18      1.17036E-18
 20  19    -4.73659E-19     -1.17799E-18     -4.48251E-19      1.33416E-19
 20  20     2.59552E-18     -2.55797E-18      4.79046E-19      4.46627E-19
 21   0    -6.94212E-17      0.00000E+00     -7.05616E-20      0.00000E+00
 21   1    -3.14021E-15      1.65787E-15      2.09654E-17      1.08751E-18
 21   2    -1.40481E-16     -4.69801E-17      3.00032E-17     -7.48979E-17
 21   3    -1.21978E-16      1.43147E-17     -3.05927E-19     -3.60474E-19
 21   4     1.18096E-18      3.82999E-18     -1.60538E-20      3.29694E-19
 21   5    -9.33112E-18     -6.61156E-19     -1.52681E-19     -5.25243E-19
 21   6    -1.61295E-18     -1.26959E-19      5.91636E-20      1.20813E-19
 21   7    -1.21764E-17      2.45041E-18     -3.23650E-19     -8.65839E-19
 21   8    -2.10821E-19     -6.72665E-20     -1.22006E-19     -3.52593E-19
 21   9    -1.75359E-17      5.27137E-18     -5.33238E-19     -1.37221E-18
 21  10     3.43066E-18     -3.53854E-19     -4.95827E-19     -1.09995E-18
 21  11    -1.30309E-17      4.87147E-18     -5.07373E-19     -9.76327E-19
 21  12     5.47344E-18     -2.84850E-18     -1.52364E-18     -1.58491E-18
 21  13    -1.70898E-17      6.23043E-18     -4.40803E-19     -7.33985E-19
 21  14     9.38871E-18     -5.11164E-18     -1.71807E-18     -2.62603E-18
 21  15    -6.88838E-18      5.56450E-18     -5.68406E-20     -3.48868E-19
 21  16     1.03194E-17     -1.08941E-17     -1.67488E-18     -2.61470E-18
 21  17    -7.44182E-18      2.17316E-19      6.28128E-19      2.35018E-19
 21  18     7.02826E-18     -8.31104E-18     -2.30783E-18     -1.78249E-18
 21  19     6.33915E-18     -3.75459E-18      1.09031E-18      4.95040E-19
 21  20     8.19500E-19      1.30198E-18     -2.05375E-19      2.78761E-19
 21  21     2.58842E-18     -2.94828E-18      3.80000E-19      5.76967E-19
 22   0     5.88938E-16      0.00000E+00     -2.75241E-20      0.00000E+00
 22   1    -7.85236E-18      6.71425E-16     -2.81100E-17     -5.42917E-17
 22   2     4.87559E-17      2.09124E-17      6.43609E-17     -1.80310E-16
 22   3    -2.19241E-17      2.99575E-17     -2.16794E-18     -1.70241E-17
 22   4    -6.79243E-18      2.30106E-19      4.73602E-18     -4.11201E-18
