# age	unconstrained	toroidal
7.862000000000000455e+02	7.395338898193796240e+01	1.545098670686827269e+01
7.861000000000000227e+02	8.047284460555027863e+01	1.666760807978175407e+01
7.860000000000000000e+02	8.944273260236813883e+01	2.093527924505875148e+01
7.858999999999999773e+02	9.675283587293186827e+01	2.474315711364767623e+01
7.857999999999999545e+02	9.989705284322293721e+01	2.646737635490864804e+01
7.857000000000000455e+02	9.878862840459180461e+01	2.600891227983819931e+01
7.856000000000000227e+02	9.438436858732386270e+01	2.384487559100075060e+01
7.855000000000000000e+02	8.983749770542573287e+01	2.158656422395831243e+01
7.853999999999999773e+02	8.670997932693998678e+01	2.008975519950263688e+01
7.852999999999999545e+02	8.387065479841849935e+01	1.887301251994601614e+01
7.852000000000000455e+02	8.067879723435959249e+01	1.753668157252160853e+01
7.851000000000000227e+02	7.779200484200862320e+01	1.652049933375273838e+01
7.850000000000000000e+02	7.554362186155020709e+01	1.591088761259983109e+01
7.848999999999999773e+02	7.323180945287839450e+01	1.541001335959666996e+01
7.847999999999999545e+02	7.072772100260944228e+01	1.516899084582092705e+01
7.847000000000000455e+02	6.979035193164099837e+01	1.540156628918446735e+01
7.846000000000000227e+02	7.118962061680646514e+01	1.660990318115275244e+01
7.845000000000000000e+02	7.340436117519124082e+01	1.816725811951448222e+01
7.843999999999999773e+02	7.456678795119323411e+01	1.936312912987441592e+01
7.842999999999999545e+02	7.582328946793289504e+01	2.076439633577161459e+01
7.842000000000000455e+02	7.798540497057157950e+01	2.307461627829096784e+01
7.841000000000000227e+02	7.962760821482093831e+01	2.505692577103966556e+01
7.840000000000000000e+02	7.868504636846643052e+01	2.555727021892203865e+01
7.838999999999999773e+02	7.611212900723531050e+01	2.503780992246759496e+01
7.837999999999999545e+02	7.264485574711314086e+01	2.463335639447216607e+01
7.837000000000000455e+02	6.987894040155677544e+01	2.609676700810401684e+01
7.836000000000000227e+02	6.850171785761682486e+01	2.740222022691064296e+01
7.835000000000000000e+02	6.881189088802621256e+01	3.073123412837697899e+01
7.833999999999999773e+02	7.052060779909521671e+01	3.511535287574943709e+01
7.832999999999999545e+02	7.331813763021642671e+01	3.923538827504322057e+01
7.832000000000000455e+02	7.725486250847833958e+01	4.496894608743104271e+01
7.831000000000000227e+02	8.381404084192806181e+01	5.317315658855486760e+01
7.830000000000000000e+02	8.875405153857369100e+01	5.929465787322563131e+01
7.828999999999999773e+02	1.047713472089198490e+02	7.151718563801652806e+01
7.827999999999999545e+02	1.225870507286682312e+02	8.994418398950342919e+01
7.827000000000000455e+02	1.383424623131804765e+02	9.779655889118463108e+01
7.826000000000000227e+02	1.452735277937580349e+02	1.085504972869713782e+02
7.825000000000000000e+02	1.317236588793789451e+02	9.664265214701494244e+01
7.823999999999999773e+02	1.293597802635673020e+02	8.889127878162886987e+01
7.822999999999999545e+02	1.260389411253177201e+02	8.210131313265026165e+01
7.822000000000000455e+02	1.325430582565001885e+02	9.139415329860068482e+01
7.821000000000000227e+02	1.466049715466725445e+02	1.011242308571416260e+02
7.820000000000000000e+02	1.595056537414104127e+02	1.135936724335504522e+02
7.818999999999999773e+02	1.774399247624715485e+02	1.271740479095093690e+02
7.817999999999999545e+02	1.999949145547362264e+02	1.477166081629094947e+02
7.817000000000000455e+02	2.356877323053308828e+02	1.827051311155303779e+02
7.816000000000000227e+02	2.427043499193778189e+02	1.771146796322219643e+02
7.815000000000000000e+02	2.516833713408584003e+02	1.872066451467161130e+02
7.813999999999999773e+02	2.692609029582933431e+02	2.036361393373751127e+02
7.812999999999999545e+02	2.960121981308298018e+02	2.250537336840127409e+02
7.812000000000000455e+02	3.207377593113468492e+02	2.386575974217637679e+02
7.811000000000000227e+02	3.247770261125234015e+02	2.507109673252351740e+02
7.810000000000000000e+02	3.637124066421714588e+02	2.751647924935269316e+02
7.808999999999999773e+02	4.745982893794155189e+02	3.825105547607553831e+02
7.807999999999999545e+02	5.788565739303406872e+02	4.531111611771949015e+02
7.807000000000000455e+02	6.731961512324363639e+02	5.224269508321117428e+02
7.806000000000000227e+02	7.082851596566671333e+02	5.490815953082068290e+02
7.805000000000000000e+02	7.533636468029964135e+02	5.911815619148693486e+02
7.803999999999999773e+02	7.653995418849834778e+02	6.266467594642848553e+02
7.802999999999999545e+02	6.836860927816582034e+02	5.355263008492438530e+02
7.802000000000000455e+02	7.011332234623500881e+02	5.580080298572091806e+02
7.801000000000000227e+02	6.671013727913016282e+02	5.107833030585084089e+02
7.800000000000000000e+02	7.064713242596278633e+02	5.582069154229460537e+02
7.798999999999999773e+02	7.183401415493917739e+02	5.521343047639001043e+02
7.797999999999999545e+02	7.147054087460326173e+02	5.342587858411613979e+02
