# age	unconstrained	toroidal
7.876000000000000227e+02	8.336175084239989985e+01	3.420481917004366323e+01
7.875000000000000000e+02	8.082561504127372132e+01	3.353493998328243464e+01
7.873999999999999773e+02	7.802617388490665462e+01	2.911826604982869426e+01
7.872999999999999545e+02	7.592125909525654492e+01	2.552705558751380721e+01
7.872000000000000455e+02	7.365068605339632768e+01	2.291893941619965247e+01
7.871000000000000227e+02	7.082322558167690829e+01	1.841639888366683309e+01
7.870000000000000000e+02	6.893795195997674341e+01	1.420590969120285862e+01
7.868999999999999773e+02	6.821227115338805902e+01	1.331733160259805793e+01
7.867999999999999545e+02	6.831108683266413095e+01	1.553508702564371546e+01
7.867000000000000455e+02	6.747891213937396060e+01	1.495479671375364461e+01
7.866000000000000227e+02	6.623729641616412778e+01	1.138479855042524491e+01
7.865000000000000000e+02	6.611894676845832919e+01	1.000584137120947759e+01
7.863999999999999773e+02	6.789433488278532991e+01	1.354335186832977378e+01
7.862999999999999545e+02	7.103093508707358694e+01	1.699850651639873789e+01
7.862000000000000455e+02	7.389931630232977966e+01	1.526689158158991511e+01
7.861000000000000227e+02	8.043401334652669732e+01	1.657100143726107433e+01
7.860000000000000000e+02	8.942423958257613492e+01	2.087983371775820274e+01
7.858999999999999773e+02	9.673896455878275447e+01	2.464232433624891527e+01
7.857999999999999545e+02	9.985397657233592383e+01	2.637245625245378733e+01
7.857000000000000455e+02	9.866767513151408764e+01	2.591357632498683117e+01
7.856000000000000227e+02	9.433913759425401224e+01	2.375274230837068146e+01
7.855000000000000000e+02	8.979237174140747868e+01	2.148904920464297064e+01
7.853999999999999773e+02	8.664122095329291540e+01	2.002891429735177198e+01
7.852999999999999545e+02	8.380270565543270322e+01	1.879990344006329650e+01
7.852000000000000455e+02	8.060047731254739745e+01	1.744611668336760602e+01
7.851000000000000227e+02	7.771682290062807397e+01	1.635122466148233400e+01
7.850000000000000000e+02	7.548582113667808358e+01	1.570666400397798945e+01
7.848999999999999773e+02	7.315795646499034888e+01	1.518889057338993176e+01
7.847999999999999545e+02	7.064678664111727358e+01	1.479878019902313291e+01
7.847000000000000455e+02	6.966269577036237592e+01	1.511345415193572528e+01
7.846000000000000227e+02	7.112866195941433034e+01	1.628095121461329953e+01
7.845000000000000000e+02	7.321268348962266259e+01	1.770865272130093260e+01
7.843999999999999773e+02	7.436095704868215250e+01	1.891523002644360929e+01
7.842999999999999545e+02	7.555284408182450306e+01	2.030900838848940992e+01
7.842000000000000455e+02	7.774979730267871503e+01	2.252836127066831295e+01
