OPTIMAL FLOW WITH TARGET RMS   1.30E+01     LMAX_U  25 LMAX_B  1
 16  11     4.67158E-07     -1.43172E-07      8.21251E-09      2.67967E-08
 16  12     1.97489E-07     -6.64165E-08      4.56874E-09      1.35851E-08
 16  13     6.54519E-08     -2.39999E-08      1.96136E-09      5.34897E-09
 16  14     1.68537E-08     -6.70214E-09      6.47723E-10      1.62881E-09
 16  15     3.22713E-09     -1.38548E-09      1.58144E-10      3.68356E-10
 16  16     4.02025E-10     -1.85625E-10      2.50630E-11      5.42811E-11
 17   0     1.26278E-07      0.00000E+00     -1.33283E-18      0.00000E+00
 17   1    -1.06827E-06      2.88879E-08     -8.34408E-11     -3.08563E-09
 17   2    -3.42413E-07      1.85324E-08     -2.39385E-10     -4.42297E-09
 17   3     9.20518E-07     -7.48231E-08      5.67955E-10      6.98731E-09
 17   4     7.50061E-07     -8.14298E-08      1.36761E-09      1.25972E-08
 17   5    -3.79173E-07      5.15695E-08     -1.98199E-10     -1.45729E-09
 17   6    -9.56625E-07      1.56550E-07     -3.02171E-09     -1.84646E-08
 17   7    -5.57652E-07      1.06812E-07     -3.34271E-09     -1.74519E-08
 17   8     1.68082E-07     -3.69306E-08     -3.12574E-11     -1.42261E-10
 17   9     5.85275E-07     -1.45285E-07      4.19226E-09      1.68883E-08
 17  10     5.88619E-07     -1.63128E-07      6.30129E-09      2.27371E-08
 17  11     3.91695E-07     -1.20045E-07      5.71536E-09      1.86487E-08
 17  12     1.96633E-07     -6.61284E-08      3.77574E-09      1.12272E-08
 17  13     7.77164E-08     -2.84971E-08      1.92552E-09      5.25123E-09
 17  14     2.44254E-08     -9.71315E-09      7.71138E-10      1.93916E-09
 17  15     6.02255E-09     -2.58562E-09      2.40347E-10      5.59827E-10
 17  16     1.11228E-09     -5.13570E-10      5.58500E-11      1.20959E-10
 17  17     1.34431E-10     -6.65363E-11      8.47808E-12      1.71292E-11
 18   0     3.11462E-07      0.00000E+00     -3.18774E-19      0.00000E+00
 18   1    -4.15769E-07      1.12431E-08     -1.88771E-11     -6.98074E-10
 18   2    -4.94519E-07      2.67649E-08     -1.88320E-10     -3.47948E-09
 18   3     2.55741E-07     -2.07876E-08      4.51300E-11      5.55216E-10
 18   4     5.80746E-07     -6.30482E-08      7.57238E-10      6.97503E-09
 18   5     1.03621E-07     -1.40930E-08      5.53487E-10      4.06960E-09
 18   6    -4.46960E-07      7.31445E-08     -1.00752E-09     -6.15658E-09
 18   7    -4.80628E-07      9.20586E-08     -2.14333E-09     -1.11901E-08
 18   8    -1.17343E-07      2.57823E-08     -1.22849E-09     -5.59121E-09
 18   9     2.32336E-07     -5.76738E-08      1.13638E-09      4.57786E-09
 18  10     3.54051E-07     -9.81204E-08      3.09490E-09      1.11674E-08
 18  11     2.91990E-07     -8.94877E-08      3.55887E-09      1.16123E-08
 18  12     1.73891E-07     -5.84803E-08      2.80180E-09      8.33116E-09
 18  13     8.07899E-08     -2.96241E-08      1.67765E-09      4.57524E-09
 18  14     3.00878E-08     -1.19649E-08      7.92925E-10      1.99395E-09
 18  15     9.01290E-09     -3.86945E-09      2.98417E-10      6.95085E-10
 18  16     2.13536E-09     -9.85951E-10      8.82494E-11      1.91129E-10
 18  17     3.81307E-10     -1.88727E-10      1.95960E-11      3.95921E-11
 18  18     4.47849E-11     -2.36944E-11      2.85829E-12      5.40248E-12
 19   0     2.43750E-07      0.00000E+00      1.04222E-19      0.00000E+00
 19   1    -3.91224E-08      1.05794E-09      5.85507E-12      2.16520E-10
 19   2    -3.44898E-07      1.86669E-08     -9.37648E-11     -1.73244E-09
 19   3    -5.85113E-08      4.75602E-09     -1.08460E-10     -1.33434E-09
 19   4     3.03872E-07     -3.29896E-08      2.83510E-10      2.61145E-09
 19   5     2.23738E-07     -3.04295E-08      5.25331E-10      3.86258E-09
 19   6    -1.21463E-07      1.98773E-08     -8.35059E-11     -5.10275E-10
 19   7    -2.99046E-07      5.72787E-08     -1.03053E-09     -5.38030E-09
 19   8    -1.85891E-07      4.08436E-08     -1.14337E-09     -5.20380E-09
 19   9     3.64662E-08     -9.05217E-09     -1.19720E-10     -4.82287E-10
