Age (kyr)	VADM (10^22 Am^2)	Standard error (10^22 Am^2)
327	8.6267832	0.83386586
328	7.6291318	1.0160637
329	7.7673451	0.54635766
330	8.336983	0.54649503
331	7.8071077	0.73389349
332	7.2085492	0.67396996
333	7.3178797	0.65394179
334	8.3319169	0.50958098
335	8.6507428	0.69833774
336	7.987553	0.46932645
337	7.2593124	0.45789379
338	6.9446085	0.57138438
339	7.439007	0.73789827
340	7.8291077	0.79093409
341	7.9859929	0.58128381
342	8.9535049	0.61971142
343	8.8437347	0.71304362
344	9.0468868	0.87356054
345	9.8940384	1.0893387
346	12.276829	0.7172176
347	12.069779	0.95651682
348	13.507427	0.42268897
349	12.434852	0.90465542
350	11.88063	0.49951019
351	11.731904	0.52337143
352	9.6103143	0.72324355
353	9.5766219	0.70017396
354	9.403773	0.42512546
355	9.8143868	0.29301208
356	10.605364	0.61792742
357	9.2984948	0.66981744
358	9.4933394	0.93482771
359	11.228751	0.54611655
360	9.6854305	0.96912819
361	9.6017234	0.52369231
362	10.5842	0.73037344
363	11.007828	0.60173625
364	11.119994	0.46667604
365	10.723139	0.51515368
366	10.339913	0.76518405
367	9.7683732	0.41088177
368	9.4663012	0.47676972
369	8.5716715	0.48333834
370	8.3173923	0.47692247
371	7.0793075	0.60430331
372	7.185689	0.44224673
373	8.6989199	0.50960495
374	7.8340554	0.81253377
375	9.5526988	0.55753526
376	8.982257	0.47571263
377	7.5989069	0.29571923
378	7.136711	0.59851168
379	6.0058698	0.53912474
380	6.2533073	0.47100599
381	6.9944964	0.67280662
382	6.7744751	0.26693203
383	7.5012561	0.37906678
384	5.6556434	0.32588272
385	5.5004155	0.55752668
386	5.3508691	0.50368847
387	5.6526525	0.48130107
388	6.151821	0.55137875
389	6.3309277	0.41449912
390	6.3844493	0.46110835
391	6.7729519	0.36451723
392	8.2709108	0.47478397
393	9.9767464	0.6158576
394	10.812898	0.83500809
395	9.8276393	0.67231761
396	10.303006	0.56632502
397	8.3308168	0.46544581
398	6.5885516	0.29020344
399	6.4747347	0.5138934
400	5.4783601	0.90558122
401	4.2346342	0.78896587
402	5.2943848	0.65899578
403	4.8268498	0.47522612
404	5.1895576	0.55427492
405	5.2407444	0.53070666
406	5.1430082	0.44952007
407	5.1546641	0.78446922
408	5.5092021	0.41698784
409	4.0917926	0.41213096
410	4.6128327	0.43935198
411	5.4151068	0.58412275
412	7.0957423	0.62414547
413	7.3822581	0.92745563
414	9.1449464	0.87179622
415	11.044202	1.5999507
416	10.268341	0.65910918
417	9.3063752	0.70747056
418	8.9334088	0.60803622
419	10.895809	0.81249191
420	11.677497	0.7751815
421	10.421998	0.95002725
422	10.770572	0.91159822
423	10.959227	1.0313462
424	11.416026	1.5514355
425	10.806731	1.1836332
426	12.095986	1.1124727
427	11.804269	1.5224222
428	9.4648434	0.89006365
429	8.3220582	1.0337215
430	8.0839999	1.040752
