"SUL 2-15
Italy, Sulmona","Hea,ng ,me: 60 s
measured 02/15/2012","J=0.0008041± 0.00000019343
Irr 50",,,,,,,,,,,,,,,,,,"BLANKS
10minutes",,,,,,,,,,
,Power,40Ar,40Ar,± 1σ,39Ar,± 1σ,38Ar,± 1σ,37Ar,± 1σ,36Ar,± 1σ,D 1,%1σ,% 40Ar*,Age,± 1σ,Ca/K,± 1σ,40Ar,40Ar,± 1s,39Ar,± 1s,38Ar,± 1s,37Ar,± 1s,36Ar,± 1s
N,% full power,Moles,V,V,V,V,V,V,V,V,V,V,,,,ka,ka,,,Moles,V,V,V,V,V,V,V,V,V,V
Decay constants (S-J 1977),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K le (5.81 ± 0.00)E-11 a-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K lb (4.962 ± 0.000)E-10 a-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUL 2-16
Italy, Sulmona","Hea,ng ,me: 60 s
measured 02/15/2012","J=0.0007429± 0.00000014858
Irr 50",,,,,,,,,,,,,,,,,,"BLANKS
10minutes",,,,,,,,,,
,Power,40Ar,40Ar,± 1σ,39Ar,± 1σ,38Ar,± 1σ,37Ar,± 1σ,36Ar,± 1σ,D 1,%1σ,% 40Ar*,Age,± 1σ,Ca/K,± 1σ,40Ar,40Ar,± 1s,39Ar,± 1s,38Ar,± 1s,37Ar,± 1s,36Ar,± 1s
N,% full power,Moles,V,V,V,V,V,V,V,V,V,V,,,,ka,ka,,,Moles,V,V,V,V,V,V,V,V,V,V
N1102-01,12,"9,047E-16","6,686E-04","1,404E-06","9,786E-04","1,859E-06","2,108E-05","1,476E-07","4,114E-06","5,801E-08","5,463E-07","7,375E-09","1,00892","0,2","85,2","779,1","± 9,2","23,8","0,4","1,049E-17","8,263E-06","2,066E-07","9,090E-07","1,945E-07","2,845E-09","2,817E-09","2,236E-08","1,565E-08","1,985E-07","2,064E-08"
N1102-02,12,"8,101E-16","5,996E-04","9,594E-07","9,643E-04","1,541E-06","1,514E-05","7,570E-08","4,054E-06","4,054E-08","2,487E-07","1,306E-08","1,00891","0,2","97,8","812,9","± 10,1","23,8","0,3","1,049E-17","8,263E-06","2,066E-07","9,090E-07","1,945E-07","2,845E-09","2,817E-09","2,236E-08","1,565E-08","1,985E-07","2,064E-08"
N1102-03,12,"1,768E-15","1,299E-03","1,819E-06","1,378E-03","1,791E-06","2,000E-05","8,000E-08","5,000E-06","5,000E-08","1,938E-06","2,713E-08","1,00902","0,2","61,6","782,3","± 10,6","27,6","0,3","1,049E-17","8,263E-06","2,066E-07","9,090E-07","1,945E-07","2,845E-09","2,817E-09","2,236E-08","1,565E-08","1,985E-07","2,064E-08"
N1102-04,12,"2,335E-15","1,713E-03","2,056E-06","2,685E-03","2,148E-06","4,110E-05","1,233E-07","1,215E-05","7,655E-08","7,291E-07","1,772E-08","1,00908","0,2","91,3","785,8","± 4,4","22,1","0,2","1,049E-17","8,263E-06","2,066E-07","9,090E-07","1,945E-07","2,845E-09","2,817E-09","2,236E-08","1,565E-08","1,985E-07","2,064E-08"
N1102-05,12,"2,244E-15","1,645E-03","2,303E-06","1,845E-03","2,768E-06","2,781E-05","5,562E-08","8,305E-06","6,063E-08","2,152E-06","1,119E-08","1,00907","0,2","65,3","785,0","± 5,2","21,8","0,2","9,053E-18","7,129E-06","8,554E-08","7,589E-07","9,410E-08","1,383E-09","1,314E-09","2,309E-08","9,698E-09","1,488E-07","9,821E-09"
N1102-06,12,"2,247E-15","1,647E-03","2,306E-06","2,283E-03","2,511E-06","3,546E-05","1,206E-07","1,058E-05","6,242E-08","1,298E-06","1,389E-08","1,00907","0,2","80,2","780,6","± 4,0","21,2","0,2","9,053E-18","7,129E-06","8,554E-08","7,589E-07","9,410E-08","1,383E-09","1,314E-09","2,309E-08","9,698E-09","1,488E-07","9,821E-09"
N1102-07,12,"7,725E-16","5,710E-04","1,199E-06","9,297E-04","1,766E-06","1,465E-05","8,790E-08","2,428E-06","3,156E-08","2,590E-07","1,036E-08","1,00890","0,2","94,5","776,8","± 6,6","37,8","0,6","9,053E-18","7,129E-06","8,554E-08","7,589E-07","9,410E-08","1,383E-09","1,314E-09","2,309E-08","9,698E-09","1,488E-07","9,821E-09"
N1102-08,12,"1,115E-15","8,210E-04","1,478E-06","1,060E-03","1,802E-06","1,622E-05","6,488E-08","4,032E-06","3,226E-08","8,620E-07","1,207E-08","1,00894","0,2","75,1","781,6","± 6,6","25,8","0,3","9,053E-18","7,129E-06","8,554E-08","7,589E-07","9,410E-08","1,383E-09","1,314E-09","2,309E-08","9,698E-09","1,488E-07","9,821E-09"
N1102-09,12,"9,930E-16","7,326E-04","1,319E-06","1,088E-03","1,306E-06","1,693E-05","1,016E-07","4,910E-06","3,928E-08","4,914E-07","1,376E-08","1,00893","0,2","86,8","783,6","± 8,4","21,7","0,2","9,864E-18","7,767E-06","1,243E-07","1,276E-06","1,059E-07","2,589E-09","2,563E-09","1,967E-08","1,463E-08","1,495E-07","1,779E-08"
